review,is_positive
 Would have appreciated a shop in the hotel that sold drinking water etc but not necessity Would recommend if like us you arrive late at night to bring drinks from plane airport as there s no shop nearby There is a minibar though if you want to pay those prices ,0
 Pillows ,0
 They don t have free wifi,0
 Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issues did not spoil our minibreak It would be nice to have vegetarian sausages available for breakfast ,0
 Executive rooms 9th Floor don t have a bath Their website made it look like all rooms did have one and when being at the end of a hall there s no wifi connection possible Mind that during my first two stays here I did have a perfect wifi connection ,0
 Pity about the two days of rain,0
 Didn t like it at all construction was in progress stuff lied to us about vacancy ,0
 N A,0
 Pool was very small and kind of chemical too much chlorine,0
 In the room they gave us first wi fi signal was very low When we pointed out that the staff immediatly proposed us to change room in order to have a better internet service So we really appreciated their availability However they could work to improve the wi fi system all around the building ,0
 Breakfast was okay Typical European but did start at 6am which was good as we had an early flight out ,0
 1 Bed was faulty seemed to dip in the middle very uncomfortable 2 VERY noisy room so got very little sleep because of 1 and 2 3 Make up mirror faulty 4 Cleaning disturbing me when I m trying to get ready for work 5 Concierge whose response was oh dear i was not impressed ,0
 Very noisy room close to an extrrnal electricity cell buzzing loud all the time air conditioning with poor control cheap fixtures very small room poor value for the money spent quite a lot ,0
 Room rate a bit expensive Breakfast included in the room rate is very basic Need to pay more attention to room cleaning,0
 I wouldn t say it was a 5 star hotel but a very good 4 Star,0
 The air conditioning failed on one night however there was no issue in changing rooms If anything i know its Paris and rooms are small by nature but it did feel a bit cramped ,0
 There wasn t anything to dislike ,0
 The location was very close to the Tower of London and the Thames but during the weekend the area is too calm and quiet far away from shops and places of interest ,0
 rooms need more lights,0
 Very expensive parking When we booked a 3 adult room we were squeezed to a 2 people room where the extra bed barely fit the booking details were very misleading Had to complain and argue with the staff to finally get upgraded All and all painful experience ,0
 The street is quiet for the neighbourhood but Soho does have a nightlife If you are a light sleeper ask for a quiet room I slept just fine ,0
 Construction site next door meant it was a bit noisy in our room first thing Railway close by too so added noise but not unbearable ,0
 Shower a little tired now The shower curtain didn t prevent the water from running out of the bath and all over the floor ,0
 Bad Storm could not get back to Hotel trams stopped trees on power lines,0
 Room is a little too minimalistic for my taste but overall was fine There was kind of a weird smell in my room like the carpet was recently shampooed with something strong ,0
 Pillows are a bit too soft but bed is awesome ,0
 All are excellent,0
 The room was tiny no bigger than a box room in a terraced house bed was pushed up against 2 walls my wife and I couldn t get changed at the same time because the room didn t have enough space to allow us to ,0
 No view of sunlight from the bedroom as it looked in a well and faced other rooms which meant no privacy Also a long walk around the hallways to get to the room,0
 Room service menu is somewhat limited and quite costly The excellent bar has a poor selection of beers and Scotch whiskies this should be simple to fix The cost of drinks in the bar is higher than usual for hotels in this range ,0
 Very dark everywhere rooms corridors Felt that 2 slices of toast and a coffee for 10 overpriced even by London standards No bar and not allowed to eat or drink outside in terraced area even though pretty secluded ,0
 A new member of staff in the restaurant Even though I told her that I hadn t prepaid for breakfast but that I had pre authorised funds for payment on my room number I asked her to bill my breakfast to my room She later stopped me leaving the restaurant and told me I had to pay Very embarrassing as I had earlier told her to bill it to my room Which she then proceeded to do The same member of staff served me the evening before in the bar She couldn t work the till and then gave me the wrong change too much Thankfully Rugby fans are generally honest folk ,0
 The hallways were a little shabby but the hotel is clearly going through refurbishment so I m sure this shall be addressed soon,0
 Hotel need some renovation ,0
 Little bit further out of the city centre but there s an underground station about 5 mins away and you can catch a hop on hop off bus right outside the hotel,0
 The room was old and the pictures i saw online for the room was completly different to reality ,0
 Parking was expensive ,0
 It was a shame that the bar area was being refurbished at the time of our stay,0
 Gym small currently some building works outside property,0
 The breakfast was not as varied as I hoped,0
 Breakfast provision fine though hot drinks a bit hard work Ok for evening meal but not great Not much atmosphere ,0
 Decor,0
 Wordings of minutes from Tube station was deceiving Lodge was located much further took a half hour walk each way Few buses run through the area hence was really inconvenient Pricey for that location and facilities Early check in was promised when requested on Bookin com but asked to pay extra when we arrived Very dishonest we felt So was overall an unpleasant experience ,0
 Staff could have been better long check out lines waueted ages on tea coffee at breakfast on day 1 entrance way was dirty,0
 Wi fi could ve been made complimentary since it was too slow for 10 Euros ,0
 Defenetely need a refurbishment ,0
 Due to the location and it being a very touristy area we had heard that pickpocketing was very common in that area We didn t experience this ourselves however ,0
 Bed a bit hard for us,0
 Check in seemed unnecessarily time consuming leading to queues Took 25 mins between arriving at hotel and getting to room ,0
 Room quite small at front of hotel and at times quite noisey ,0
