,review,is_positive
0,would appreci shop  sold drink water etc necess would recommend like us arriv late night bring drink plane airport shop nearbi minibar though want pay price,0
1,pillow,0
2,free wifi,0
3, gener bit shabbi lack mainten crumb  floor issu spoil minibreak would nice vegetarian sausag avail ,0
4,execut  9th floor bath websit made look like  one end hall wifi connect possibl mind first two stay perfect wifi connect,0
5,piti two day rain,0
6,like construct progress stuff lie us vacanc,0
7,n,0
8,pool small kind chemic much chlorin,0
9, gave us first wi fi signal low point  immediatli propos us chang  order better internet servic realli appreci avail howev could work improv wi fi system around build,0
10, okay typic european start 6am good earli flight,0
11,1  faulti seem dip middl uncomfort 2 noisi  got littl sleep 1 2 3 make mirror faulti 4 clean disturb tri get readi work 5 concierg whose respons oh dear impress,0
12,noisi  close extrrnal electr cell buzz loud time air condit poor control cheap fixtur small  poor valu money spent quit lot,0
13, rate bit expens  includ  rate basic need pay attent  clean,0
14,say 5 star  good 4 star,0
15,air condit fail one night howev issu chang  anyth know pari  small natur feel bit cramp,0
16,anyth dislik,0
17, close tower london thame weekend area calm quiet far away shop place interest,0
18, need light,0
19,expens park book 3 adult  squeez 2 peopl  extra  bare fit book detail mislead complain argu  final get upgrad pain experi,0
20,street quiet neighbourhood soho nightlif light sleeper ask quiet  slept fine,0
21,construct site next door meant bit noisi  first thing railway close ad nois unbear,0
22, littl tire  curtain prevent water run bath floor,0
23,bad storm could get back  tram stop tree power line,0
24, littl minimalist tast overal fine kind weird smell  like carpet recent shampoo someth strong,0
25,pillow bit soft  awesom,0
26,excel,0
27, tini bigger box  terrac hous  push 2 wall wife get chang time  enough space allow us,0
28,view sunlight  look well face  meant privaci also long walk around hallway get ,0
29, servic menu somewhat limit quit costli excel bar poor select beer scotch whiski simpl fix cost drink bar higher usual  rang,0
30,dark everywher  corridor felt 2 slice toast coffe 10 overpr even london standard bar allow eat drink outsid terrac area even though pretti seclud,0
31,new member  restaur even though told prepaid  pre authoris fund payment  number ask bill   later stop leav restaur told pay embarrass earlier told bill  proceed member  serv even bar work till gave wrong chang much thank rugbi fan gener honest folk,0
32,hallway littl shabbi  clearli go refurbish sure shall address soon,0
33, need renov,0
34,littl bit citi centr underground station 5 min away catch hop hop bu right outsid ,0
35, old pictur saw onlin  completli differ realiti,0
36,park expens,0
37,shame bar area refurbish time stay,0
38,gym small current build work outsid properti,0
39, vari hope,0
40, provis fine though hot drink bit hard work ok even meal great much atmospher,0
41,decor,0
42,word minut tube station deceiv lodg  much took half hour walk way buse run area henc realli inconveni pricey  facil earli check promis request bookin com ask pay extra arriv dishonest felt overal unpleas experi,0
43, could better long check line wauet age tea coffe  day 1 entranc way dirti,0
44,wi fi could made complimentari sinc slow 10 euro,0
45,defenet need refurbish,0
46,due  touristi area heard pickpocket common area experi howev,0
47, bit hard us,0
48,check seem unnecessarili time consum lead queue took 25 min arriv  get ,0
49, quit small front  time quit noisey,0
50,one person recept wait around 8 11min spoken  middl dual carriag,0
51,9 50 bailey seem littl pricey,0
52,semi transpar wall bath caus uncomfort travel friend,0
53,four season compar four season stay almost like lower end franchis real four season furnish overal accommod servic well par compar four season,0
54,would love  face eiffel tower,0
55,lobbi kind small recept counter alway busi,0
56,basement  total affect smell surround ktichen servic  build,0
57,laundri expens wifi free,0
58,small ,0
59,size swim pool plung pool,0
60,rude  arriv  readi arriv 8pm even though abl check 3pm,0
61,air condit  power enough  get hot hot day 25 c,0
62,cleaner perhap need pay littl attent detail,0
63, lost firm middl new one make  perfect,0
64,wish  tini,0
65,15 min walk nearest metro,0
66, everyday,0
67,love,0
68,scrambl egg bacon ,0
69,outdat   personnel speak english fluentli  smell like cigarett clean,0
70,find  use sat nav type postcod end somewher els close outsid  took us find ,0
71,felt bit pressuris housekeep vacat 11 sunday,0
72,electr outlet mirror around one outlet eg use hairdryer,0
73,recept clerk english bad understand   ask want  said tomorrow ye day l see ask credit card inform want 30 pound deposit leav get mack money still due never happen  world especi show priotiti holiday card ask newspap told tha get independ free charg  small easi chair could relax spoke duti manag complain promis give better servic return write sake other come,0
74, import thing  least luxuri  still wait someth ask said call back still wait,0
75,photo match ,0
76,staf,0
77,good better mainten,0
78,small elev big deal,0
79,clean  aunt  clean bath small space bath separ  bathtub ventil user furnitur call free wifi work  recept,0
80,  let move small tabl could sit colleagu fresh fruit salad would nice instead tin fruit,0
81,notic cup bath chang make question thoroughli  clean,0
82, littl uncomfort wife like fine,0
83,request high level  amaz view stay  low level lot road nois larg mechan crain outsid window,0
84,clean  problemat away  16 00  clean would clean around 17 00  time would miss clean servic day clean alway forgot add paper amen indian receptionist friendli limit rude,0
85, littl date howev price great valu love  great space,0
86, date condit common area poor carpet worn stain dirti carpet  similar condit day night stay hot water effort made inform guest problem air condit unit  work requir servic stay  number occas past 24 month notic gradual detrrior  common area time valu money,0
87,iron  call said put iron  safti purpos iron charg   free,0
88,park  bit walk bad  top 2 floor build kind threw us great  complain mayb tad pricey capit,0
89,5 charg deliv  servic limit choic 11pm would like chees biscuit avail 11pm cook item seem make sens,0
90,restaur food tasti,0
91,non function ac,0
92,liverpool fan joke,0
93, overpr understand 4 5 star  usual pricier buffet howev mani option avail also notic  receiv facelift decor fantast,0
94,worker work dine place kind,0
95,us far centr well connect public transport,0
96,paper thin wall prefab hear everyth happen  next door,0
97, plenti choic fruit tin pantri rang best qualiti  hot luckili could open window,0
98, small hardli space hang cloth,0
99,local restaur bit limit mani coupl metro stop away,0
100,  buffet,0
101, bit hard think perfum air condit use  clean perfum allergi like perfum smell  abl open window help dine  open 7 30pm wait 6pm hungri food price cheap similar  much cheaper eat outsid ,0
102, small expect small even smaller much problem time,0
103, shock  speak word english order  servic last night sent cold chilli without rice wait 1 hour spoke duti manag john said would refund full amount 10 24 find check morn  given refund taken 17 50 jock want full refund 17 50 pleas stay 199 00 servic shock,0
104,air condit work well first  assign well cool effect fan directli head  make noisi first night move outsid  back  air condit work better fan away  also interior  outsid window felt confin,0
105, friendli,0
106, uncomfi  puzzl ,0
107,restrict space night club top floor even  guest appreci,0
108,dirti fungu ceil bath,0
109,book via book com specifi would like pay via cash check told would fine  howev check payment taken card nonetheless left card detail secur,0
110, spa area,0
111,card open door work three differ time,0
112,edg along land furnitur dusti housekeep could better,0
113, hot  switch winter schedul turn air condition answer got complain  temperatur told open window,0
114,enough carton milk  use nespresso machin  servic charg 3 ask,0
115,free upgrad amaz howev would super happi perfect london view  instead awkward,0
116,air con  could better also nobodi answer call  servic numer time,0
117,toilet seat bath squash tight corner comfort,0
118,fire alarm kept go could use bath small,0
119,confus rate chang receptionist howev supervisor quickli effici dealt problem,0
120, servic,0
121, absolut unfriendli cold make feel embarrass interact time friendli one alway seem overload work done order two glass cava swim pool half hour later need cancel order serv although  classifi 5 star gl reflect realiti aim look like sumptuou definit beauti everywher far away provid high level servic recommend know barcelona heart plenti much much better stay option,0
122,one worst place ever stay sure travel around world place sure deserv entitl campsit staf load ask ice get charg 5 euro even deliv food  charg 5 chang sheet pillow case assum would find turn around use dirti sheet   awful serious fear life want go 8 pm even taxi driver refus drop honestli manag btw  aw sh everi day never ever stay aw place even recommend campsit enemi peopl countri campsit may look alright let face even close fine,0
123,good,0
124,wifi great unfortun,0
125,realli small  almost like attic,0
126,everi aspect stay good better,0
127, seem expens opt take ,0
128, alloc correctli,0
129, near standard lobbi disappoint,0
130,mattress firm,0
131,sky bar drink expens say london realli say much,0
132,mayb shuttl bu transfer ppl extra luggag,0
133,park free,0
134,hot even open window near boiler mayb  207 ac work hole ceil  bit unnerv 2x singl  connect instead full ,0
135,rip edg duvet cover big light  side lamp work surfac crack sink,0
136,bath door modern slide glass door make bath privat could,0
137,pretti happi realli,0
138,small ,0
139, small bath tini,0
140,price,0
141,poor light appli makeup,0
142,babi,0
143, bit grim cold well present singl  singl,0
144,think anyth,0
145,bar snack x dread extortion,0
146,poor wifi old mattress  clog,0
147, dusti place glass dirti  water went everywher danger partner view disappoint consid amount money paid reserv  reason book  view advertis websit unsatifi stay stay cardiff park plaza unbeliev clean worth money,0
148,water lukewarm hot enough bath  took payment advanc pay arriv,0
149,elev goe 3rd floor luggag  servic arriv  head old splash bit  bit small,0
150,think buffet  good cost,0
151,doubl  two doubl  although comfort enough 3 us rather small take account larg occasion tabl armchair sqeez  window furnitur  look rather tire date could date,0
152,restaur  expens,0
153,receptionist never acknowledg guest way kept head low comput screen eye contact greet make differ b would add pastri  like croissant,0
154, unfriendli,0
155, cold bath heater broken refund discount ask offer  better colder,0
156,poor wifi connect one devic connect frequent drop signal  fridg cool,0
157,small ,0
158,chef terribl disgust food although set ok beauti wast 62 50 worst cuisin ever complain much howev thought  inform enough one came told us event go  could talk approach seem stuck girl honest,0
159, terribl hairdryer  work,0
160, rather warm air condit difficult adjust window lock made bit tricki sleep well,0
161,park avail  howev anoth  five minut walk away offer paid park,0
162,1 small  area overcrowd nonstop  time 2 poor  eg cucumb felt frozen prior serv fish fresh juic 3 slipper  4 ask clean  twice brought new towel 5 quit far citi centr,0
163,check process poor long wait one agent dealt concierg style request answer phone  poorli lit light desk make tabl,0
164,good,0
165,initi book classic  find arriv  small even 2 peopl pricey classic rooom pay extra upgrad superior  decent size known size classic  book photo classic  find realist realli disappoint issu  undergo renov inform   avail total price 3 night stay 700 euro pricey ,0
166,swim pool cold  could varieti  small side,0
167,love everyth,0
168, servic,0
169,tile  paint peel extens look horribl also  bath standard rest ,0
170,pay wi fi outsid window still need clean detract stun view,0
171,air condit work hot ,0
172,area around  nowher open  ask mainli commut work area end abl get  apex  fault may add advic would plan near  definit book  apex concierg also littl rude unhelp big issu  fault,0
173, smaller side,0
174, could use varieti superior doubl  open terrac slight discomfort cold weather,0
175,almost shop possibl around,0
176,park charg could bit reason,0
177, need updat adequ enough,0
178,expens bar,0
